CollectionDate,Age,Education,EducationSpecify,English,Confidence,Roles01,Roles02,Roles03,Roles04,Roles05,Roles06,Roles07,Roles08,Roles09,RolesSpecify, Familiarity,InteractFrequency,WriteFrequency,Assigned,Versions01,Versions02,Versions03,Versions04,Versions05,Training01,Training02,Training03,Training04
24/10/2025 12:28:21 PM,2,4,"",1,3,True,False,False,True,True,False,False,False,False,"",2,1,1,1,False,True,True,True,False,False,False,False,False
24/10/2025 2:50:31 PM,4,4,"",1,5,True,False,False,False,False,False,False,False,False,"",3,1,5,3,True,True,False,False,False,False,False,False,False
24/10/2025 5:17:21 PM,2,3,"",2,4,True,False,False,False,False,False,False,False,False,"",3,1,2,3,False,False,True,False,False,False,False,False,False
24/10/2025 6:07:56 PM,2,3,"",2,4,False,True,True,False,True,False,False,False,False,"",2,3,5,3,False,False,True,True,False,False,False,False,False
24/10/2025 9:26:58 PM,3,3,"",2,4,True,False,True,False,False,False,True,True,False,"",2,1,2,3,False,True,True,True,False,False,True,True,True
24/10/2025 10:06:00 PM,3,5,"",2,5,True,True,False,False,False,False,False,False,False,"",3,2,5,3,False,True,True,True,False,False,False,False,False
24/10/2025 10:13:56 PM,3,4,"",2,4,False,True,True,False,False,False,False,False,False,"",2,3,4,3,False,False,True,True,False,False,False,False,False
25/10/2025 1:36:37 AM,3,4,"",2,5,True,True,False,False,False,False,False,True,False,"",3,1,3,2,False,False,True,True,False,False,False,False,False
25/10/2025 2:01:10 AM,4,5,"",2,5,False,True,True,False,False,False,False,False,False,"",3,1,5,3,False,True,True,True,False,False,False,False,False
25/10/2025 2:42:42 AM,2,4,"",1,5,False,False,True,False,False,False,False,False,False,"",3,3,3,3,False,True,True,True,False,False,False,False,False
25/10/2025 3:03:40 AM,4,3,"",1,4,False,False,False,False,False,False,False,False,True,"Security Engineer - non developer",2,2,4,3,False,False,True,True,False,False,False,False,False
25/10/2025 4:24:21 AM,3,3,"",1,5,True,False,True,False,False,False,False,True,False,"",3,1,5,3,True,True,True,True,False,False,False,True,True
25/10/2025 8:31:53 AM,3,3,"",1,5,True,False,True,False,False,False,False,True,False,"",3,1,5,3,True,True,True,True,False,False,False,True,True
25/10/2025 9:19:34 AM,3,3,"",1,5,False,True,False,False,False,False,False,False,False,"",3,4,6,2,False,False,True,False,False,False,False,False,False
25/10/2025 9:26:48 AM,2,4,"",1,4,True,False,True,False,False,False,False,False,False,"",3,1,2,3,False,False,False,True,False,False,False,False,True
25/10/2025 10:15:37 AM,2,4,"",1,4,True,False,True,False,False,False,False,False,False,"",3,1,2,3,False,True,True,True,False,False,False,False,False
25/10/2025 2:41:22 PM,3,3,"",1,5,True,False,True,False,False,False,False,True,False,"",3,1,5,3,True,True,True,True,False,False,False,True,True
25/10/2025 6:14:48 PM,4,1,"",1,5,True,False,True,False,False,True,False,False,False,"",3,2,5,3,False,True,False,False,False,False,False,False,False
26/10/2025 4:48:47 AM,4,4,"",2,5,True,True,True,False,False,False,False,False,False,"",3,2,4,2,True,True,False,False,False,False,False,False,False
26/10/2025 11:09:12 AM,2,1,"",2,5,False,True,True,False,False,False,True,False,False,"",3,3,4,3,False,False,True,True,False,False,False,False,False
27/10/2025 11:13:58 PM,4,3,"",2,5,True,False,True,False,False,False,False,False,True,"AppSec engineer",3,2,5,3,False,False,True,True,False,False,False,False,False
28/10/2025 2:53:40 AM,4,3,"",2,5,True,False,True,False,False,True,False,False,False,"",3,2,4,3,False,False,True,True,False,False,False,False,False
28/10/2025 11:04:03 AM,2,3,"",1,5,True,False,False,False,False,False,False,False,False,"",3,1,2,3,True,True,True,False,False,False,False,False,False
28/10/2025 11:06:35 AM,1,3,"",1,5,False,False,False,False,False,True,False,False,False,"",3,1,1,1,False,True,True,True,False,False,False,False,False
28/10/2025 12:16:30 PM,3,1,"",1,5,True,True,False,False,False,True,True,True,False,"",3,2,3,3,False,False,False,False,True,False,False,False,False
28/10/2025 12:58:34 PM,3,3,"",1,4,False,False,False,False,False,True,False,False,False,"",3,2,1,1,True,True,False,False,False,False,False,False,False
28/10/2025 1:39:30 PM,3,1,"",1,3,True,True,False,False,False,False,False,False,False,"",3,2,1,1,True,True,True,True,False,False,False,False,False
28/10/2025 2:01:13 PM,3,3,"",1,5,True,True,True,False,False,False,True,True,False,"",3,2,5,3,True,True,True,False,False,True,True,True,False
28/10/2025 3:00:09 PM,1,3,"",1,5,True,True,False,False,False,True,False,False,False,"",2,2,1,2,False,True,False,True,False,False,False,False,False
28/10/2025 10:13:13 PM,4,5,"",2,5,False,False,False,False,False,False,False,False,True,"CTO",3,2,5,3,True,True,True,True,False,False,False,False,False
29/10/2025 1:49:30 AM,3,3,"",1,4,True,False,False,False,False,False,False,False,False,"",2,1,4,3,True,True,True,True,False,False,False,False,False
29/10/2025 8:29:07 AM,3,4,"",1,4,False,False,False,False,False,False,False,False,True,"security architect",3,1,1,1,False,False,True,True,False,False,False,False,False
29/10/2025 10:34:46 AM,3,4,"",2,4,True,False,False,False,False,False,True,False,False,"",2,1,1,1,True,True,True,True,False,False,False,False,False
30/10/2025 5:28:41 PM,3,4,"",1,5,False,False,True,False,False,False,False,False,False,"",3,1,5,3,True,True,True,True,False,False,False,True,True
30/10/2025 7:30:52 PM,3,1,"",1,5,False,True,True,False,False,False,False,False,False,"",2,3,5,3,False,False,True,True,False,False,False,False,False
5/11/2025 1:35:21 AM,2,3,"",2,4,True,False,True,False,False,False,False,False,False,"",2,2,3,3,False,False,True,True,False,False,False,True,True
6/11/2025 12:29:51 PM,4,4,"",2,5,True,False,True,False,False,False,True,True,False,"",3,1,5,3,False,False,True,True,False,False,False,False,True
10/11/2025 6:22:17 PM,4,5,"",2,3,False,False,True,False,False,False,False,False,False,"",2,1,2,3,False,False,False,True,False,False,False,False,True
10/11/2025 6:22:32 PM,4,5,"",2,3,False,False,True,False,False,False,False,False,False,"",2,1,2,3,False,False,False,True,False,False,True,False,True
10/11/2025 6:22:39 PM,4,5,"",2,3,False,False,True,False,False,False,False,False,False,"",2,1,2,3,False,False,False,True,False,False,True,True,True
10/11/2025 6:23:18 PM,4,5,"",2,3,False,False,True,False,False,False,False,False,False,"",2,1,2,3,False,True,True,True,False,False,False,False,False
